time[sec],omega_t_b(X)[rad/s],omega_t_b(Y)[rad/s],omega_t_b(Z)[rad/s],q_t_i2b(0)[-],q_t_i2b(1)[-],q_t_i2b(2)[-],q_t_i2b(3)[-],torque_t_b(X)[Nm],torque_t_b(Y)[Nm],torque_t_b(Z)[Nm],h_total[Nms],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],lat[rad],lon[rad],alt[m],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],gyro_omega1_c(X)[rad/s],gyro_omega1_c(Y)[rad/s],gyro_omega1_c(Z)[rad/s],
0,0,0,0,0,0,0,1,1.90638e-07,-5.43735e-07,1.85117e-07,0,1.35392e+06,-1.16548e+06,7.00647e+06,-7271.13,325.922,1456.48,-7271.13,325.922,1456.48,1.32255,1.46227,872577,-1.35392e+06,1.16548e+06,-7.00647e+06,7271.13,-325.922,-1456.48,-1.35392e+06,1.16548e+06,-7.00647e+06,7271.13,-325.922,-1456.48,-5.23797e+10,-1.26514e+11,-5.48518e+10,35594.3,-9920.8,-5616.14,-5.23797e+10,-1.26514e+11,-5.48518e+10,35594.3,-9920.8,-5616.14,0.000220536,-0.00102133,0.000163567,
0.5,9.53189e-07,-2.71868e-06,9.25584e-07,1.19149e-07,-3.39835e-07,1.15698e-07,1,1.90638e-07,-5.43735e-07,1.85117e-07,3.02597e-07,1.35028e+06,-1.16531e+06,7.00719e+06,-7271.84,326.533,1452.79,-7271.83,326.535,1452.8,1.32296,1.46097,872580,-1.35028e+06,1.16531e+06,-7.00719e+06,7271.84,-326.533,-1452.79,-1.35029e+06,1.16531e+06,-7.00719e+06,7271.83,-326.535,-1452.8,-5.23797e+10,-1.26514e+11,-5.48518e+10,35595,-9921.41,-5612.45,-5.23797e+10,-1.26514e+11,-5.48517e+10,35595,-9921.42,-5612.47,0.00165427,-0.00201088,0.000153746,
1,1.90638e-06,-5.43735e-06,1.85117e-06,4.76594e-07,-1.35934e-06,4.62792e-07,1,1.90637e-07,-5.43736e-07,1.85117e-07,6.05193e-07,1.34665e+06,-1.16515e+06,7.00792e+06,-7272.54,327.145,1449.1,-7272.54,327.153,1449.12,1.32337,1.45967,872582,-1.34665e+06,1.16515e+06,-7.00792e+06,7272.54,-327.145,-1449.1,-1.34666e+06,1.16514e+06,-7.00792e+06,7272.54,-327.153,-1449.12,-5.23797e+10,-1.26514e+11,-5.48518e+10,35595.7,-9922.02,-5608.77,-5.23799e+10,-1.26514e+11,-5.48515e+10,35595.7,-9922.06,-5608.85,0.00143419,0.000541005,0.00127503,
1.5,2.85956e-06,-8.15603e-06,2.77676e-06,1.07234e-06,-3.05851e-06,1.04128e-06,1,1.90637e-07,-5.43736e-07,1.85118e-07,9.0779e-07,1.34301e+06,-1.16498e+06,7.00864e+06,-7273.25,327.756,1445.42,-7273.24,327.774,1445.46,1.32377,1.45836,872585,-1.34301e+06,1.16498e+06,-7.00864e+06,7273.25,-327.756,-1445.42,-1.34305e+06,1.16497e+06,-7.00864e+06,7273.24,-327.774,-1445.46,-5.23796e+10,-1.26514e+11,-5.48518e+10,35596.4,-9922.63,-5605.08,-5.23802e+10,-1.26514e+11,-5.48512e+10,35596.4,-9922.71,-5605.27,0.000646331,-0.00275834,0.00149594,
2,3.81274e-06,-1.08747e-05,3.70235e-06,1.90638e-06,-5.43735e-06,1.85117e-06,1,1.90636e-07,-5.43736e-07,1.85119e-07,1.21039e-06,1.33937e+06,-1.16482e+06,7.00936e+06,-7273.95,328.367,1441.73,-7273.94,328.4,1441.81,1.32418,1.45705,872588,-1.33937e+06,1.16482e+06,-7.00936e+06,7273.95,-328.367,-1441.73,-1.33945e+06,1.1648e+06,-7.00935e+06,7273.94,-328.4,-1441.81,-5.23796e+10,-1.26514e+11,-5.48518e+10,35597.1,-9923.23,-5601.39,-5.23807e+10,-1.26514e+11,-5.48507e+10,35597,-9923.39,-5601.74,-0.000409692,-0.000612021,0.000912304,
2.5,4.76592e-06,-1.35934e-05,4.62795e-06,2.97871e-06,-8.49587e-06,2.89246e-06,1,1.90635e-07,-5.43736e-07,1.85121e-07,1.51298e-06,1.33574e+06,-1.16466e+06,7.01008e+06,-7274.65,328.979,1438.04,-7274.63,329.029,1438.16,1.32458,1.45574,872591,-1.33574e+06,1.16466e+06,-7.01008e+06,7274.65,-328.979,-1438.04,-1.33585e+06,1.16462e+06,-7.01007e+06,7274.63,-329.029,-1438.16,-5.23796e+10,-1.26514e+11,-5.48518e+10,35597.8,-9923.84,-5597.7,-5.23813e+10,-1.26514e+11,-5.48501e+10,35597.7,-9924.08,-5598.25,0.000574663,-0.000922909,0.00039578,
3,5.71909e-06,-1.63121e-05,5.55356e-06,4.28933e-06,-1.2234e-05,4.16515e-06,1,1.90633e-07,-5.43736e-07,1.85123e-07,1.81558e-06,1.3321e+06,-1.16449e+06,7.0108e+06,-7275.35,329.59,1434.35,-7275.32,329.663,1434.53,1.32498,1.45442,872594,-1.3321e+06,1.16449e+06,-7.0108e+06,7275.35,-329.59,-1434.35,-1.33226e+06,1.16444e+06,-7.01078e+06,7275.32,-329.663,-1434.53,-5.23796e+10,-1.26514e+11,-5.48518e+10,35598.5,-9924.45,-5594.01,-5.2382e+10,-1.26514e+11,-5.48494e+10,35598.3,-9924.8,-5594.8,0.000299334,0.00114194,0.00113136,
3.5,6.67226e-06,-1.90308e-05,6.47918e-06,5.83825e-06,-1.66519e-05,5.66924e-06,1,1.90632e-07,-5.43737e-07,1.85125e-07,2.11818e-06,1.32846e+06,-1.16433e+06,7.01152e+06,-7276.05,330.201,1430.67,-7276,330.3,1430.9,1.32539,1.4531,872596,-1.32846e+06,1.16433e+06,-7.01152e+06,7276.05,-330.201,-1430.67,-1.32868e+06,1.16426e+06,-7.01149e+06,7276,-330.3,-1430.9,-5.23796e+10,-1.26514e+11,-5.48518e+10,35599.2,-9925.06,-5590.32,-5.23828e+10,-1.26514e+11,-5.48486e+10,35598.9,-9925.53,-5591.39,0.00118889,-0.000892858,0.00146588,
4,7.62541e-06,-2.17494e-05,7.40481e-06,7.62546e-06,-2.17494e-05,7.40474e-06,1,1.9063e-07,-5.43737e-07,1.85127e-07,2.42078e-06,1.32482e+06,-1.16416e+06,7.01223e+06,-7276.75,330.812,1426.98,-7276.68,330.941,1427.29,1.32579,1.45178,872599,-1.32482e+06,1.16416e+06,-7.01223e+06,7276.75,-330.812,-1426.98,-1.32511e+06,1.16407e+06,-7.01219e+06,7276.68,-330.941,-1427.29,-5.23796e+10,-1.26514e+11,-5.48518e+10,35599.9,-9925.67,-5586.63,-5.23838e+10,-1.26514e+11,-5.48476e+10,35599.5,-9926.28,-5588.03,0.00148113,-4.20981e-05,0.00251636,
4.5,8.57855e-06,-2.44681e-05,8.33045e-06,9.65096e-06,-2.75266e-05,9.37165e-06,1,1.90628e-07,-5.43737e-07,1.8513e-07,2.72337e-06,1.32118e+06,-1.164e+06,7.01295e+06,-7277.44,331.422,1423.29,-7277.36,331.586,1423.68,1.32619,1.45045,872602,-1.32118e+06,1.164e+06,-7.01295e+06,7277.44,-331.422,-1423.29,-1.32155e+06,1.16389e+06,-7.0129e+06,7277.36,-331.586,-1423.68,-5.23795e+10,-1.26514e+11,-5.48518e+10,35600.6,-9926.28,-5582.94,-5.23849e+10,-1.26514e+11,-5.48465e+10,35600.1,-9927.05,-5584.71,0.000243797,-0.00182209,0.00204815,
